hour,value
2025-06-19 00:00:00,54.77333333333333
2025-06-19 01:00:00,46.65
2025-06-19 02:00:00,48.67333333333333
2025-06-19 03:00:00,53.843333333333334
2025-06-19 04:00:00,45.18
2025-06-19 05:00:00,49.63333333333333
2025-06-19 06:00:00,44.736666666666665
2025-06-19 07:00:00,49.09166666666667
2025-06-19 08:00:00,53.11666666666667
2025-06-19 09:00:00,44.57666666666667
2025-06-19 10:00:00,47.65833333333333
2025-06-19 11:00:00,48.835
2025-06-19 12:00:00,48.855000000000004
2025-06-19 13:00:00,52.14666666666667
2025-06-19 14:00:00,52.961666666666666
2025-06-19 15:00:00,55.57666666666667
2025-06-19 16:00:00,51.135
2025-06-19 17:00:00,45.22833333333333
2025-06-19 18:00:00,55.18666666666666
2025-06-19 19:00:00,48.48166666666667
2025-06-19 20:00:00,52.825
2025-06-19 21:00:00,49.32833333333333
2025-06-19 22:00:00,51.325
2025-06-19 23:00:00,51.718333333333334
