hour,value
2025-06-15 00:00:00,52.88333333333333
2025-06-15 01:00:00,50.26166666666666
2025-06-15 02:00:00,51.626666666666665
2025-06-15 03:00:00,49.30166666666666
2025-06-15 04:00:00,42.69166666666667
2025-06-15 05:00:00,41.25333333333333
2025-06-15 06:00:00,51.525
2025-06-15 07:00:00,53.288333333333334
2025-06-15 08:00:00,49.138333333333335
2025-06-15 09:00:00,53.275
2025-06-15 10:00:00,51.46333333333334
2025-06-15 11:00:00,50.49333333333333
2025-06-15 12:00:00,52.41
2025-06-15 13:00:00,50.77166666666667
2025-06-15 14:00:00,46.50333333333333
2025-06-15 15:00:00,50.11666666666667
2025-06-15 16:00:00,51.085
2025-06-15 17:00:00,48.465
2025-06-15 18:00:00,51.318333333333335
2025-06-15 19:00:00,56.05
2025-06-15 20:00:00,51.585
2025-06-15 21:00:00,44.825
2025-06-15 22:00:00,49.90333333333333
2025-06-15 23:00:00,52.475
