hour,value
2025-06-17 00:00:00,52.28333333333333
2025-06-17 01:00:00,49.13666666666666
2025-06-17 02:00:00,42.38
2025-06-17 03:00:00,50.64
2025-06-17 04:00:00,50.111666666666665
2025-06-17 05:00:00,49.975
2025-06-17 06:00:00,42.705000000000005
2025-06-17 07:00:00,51.965
2025-06-17 08:00:00,47.53
2025-06-17 09:00:00,53.83166666666667
2025-06-17 10:00:00,50.33833333333334
2025-06-17 11:00:00,47.865
2025-06-17 12:00:00,46.394999999999996
2025-06-17 13:00:00,49.79
2025-06-17 14:00:00,46.72833333333333
2025-06-17 15:00:00,51.461666666666666
2025-06-17 16:00:00,42.483333333333334
2025-06-17 17:00:00,53.06333333333334
2025-06-17 18:00:00,51.53
2025-06-17 19:00:00,44.505
2025-06-17 20:00:00,41.82333333333334
2025-06-17 21:00:00,45.833333333333336
2025-06-17 22:00:00,52.50666666666667
2025-06-17 23:00:00,52.67833333333333
