hour,value
2025-06-23 00:00:00,54.67333333333333
2025-06-23 01:00:00,46.50833333333333
2025-06-23 02:00:00,47.208333333333336
2025-06-23 03:00:00,50.24333333333333
2025-06-23 04:00:00,49.026666666666664
2025-06-23 05:00:00,51.49333333333333
2025-06-23 06:00:00,51.52166666666667
2025-06-23 07:00:00,52.24333333333333
2025-06-23 08:00:00,47.675
2025-06-23 09:00:00,50.89333333333333
2025-06-23 10:00:00,45.473333333333336
2025-06-23 11:00:00,57.07
2025-06-23 12:00:00,56.59666666666667
2025-06-23 13:00:00,46.55833333333333
2025-06-23 14:00:00,51.11
2025-06-23 15:00:00,49.06166666666666
2025-06-23 16:00:00,48.49
2025-06-23 17:00:00,56.431666666666665
2025-06-23 18:00:00,46.080000000000005
2025-06-23 19:00:00,49.21
2025-06-23 20:00:00,51.04
2025-06-23 21:00:00,51.230000000000004
2025-06-23 22:00:00,56.13166666666667
2025-06-23 23:00:00,48.403333333333336
