hour,value
2025-06-28 00:00:00,47.70666666666667
2025-06-28 01:00:00,54.233333333333334
2025-06-28 02:00:00,55.75333333333333
2025-06-28 03:00:00,47.40333333333333
2025-06-28 04:00:00,49.026666666666664
2025-06-28 05:00:00,48.76833333333333
2025-06-28 06:00:00,50.75
2025-06-28 07:00:00,47.973333333333336
2025-06-28 08:00:00,47.306666666666665
2025-06-28 09:00:00,50.235
2025-06-28 10:00:00,46.865
2025-06-28 11:00:00,45.335
2025-06-28 12:00:00,51.37833333333333
2025-06-28 13:00:00,48.54
2025-06-28 14:00:00,46.92666666666666
2025-06-28 15:00:00,48.78666666666666
2025-06-28 16:00:00,51.755
2025-06-28 17:00:00,45.945
2025-06-28 18:00:00,53.986666666666665
2025-06-28 19:00:00,46.48833333333334
2025-06-28 20:00:00,51.07
2025-06-28 21:00:00,45.431666666666665
2025-06-28 22:00:00,47.85333333333333
2025-06-28 23:00:00,49.166666666666664
